DATE,Hospitalized,Death_Count,Moving_Avg_Window_5,Death_Moving_Avg_Window_5
4-16-2009,173603,0,173603,0
4-17-2009,211823,0,192713,0
4-18-2009,139219,2,174881.6667,0.666666667
4-19-2009,151720,32,169091.25,8.5
4-20-2009,164556,73,168184.2,21.4
4-21-2009,134155,131,160294.6,47.6
4-22-2009,179041,145,153738.2,76.6
4-23-2009,175745,152,161043.4,106.6
4-24-2009,151636,163,161026.6,132.8
4-25-2009,146821,151,157479.6,148.4
4-26-2009,146376,156,159923.8,153.4
4-27-2009,168387,163,157793,157
4-28-2009,169435,155,156531,157.6
4-29-2009,158718,175,157947.4,160
4-30-2009,202835,190,169150.2,167.8
5-1-2009,168537,0,173582.4,136.6
5-2-2009,179806,0,175866.2,104
5-3-2009,178794,0,177738,73
5-4-2009,242737,0,194541.8,38
5-5-2009,236480,0,201270.8,0
5-6-2009,194254,0,206414.2,0
5-7-2009,229950,0,216443,0
5-8-2009,236313,0,227946.8,0
5-9-2009,251266,61,229652.6,12.2
5-10-2009,286305,5351,239617.6,1082.4
5-11-2009,318103,6001,264387.4,2282.6
5-12-2009,239242,6613,266245.8,3605.2
5-13-2009,276323,7344,274247.8,5074
5-14-2009,331261,8208,290246.8,6703.4
5-15-2009,288035,9080,290592.8,7449.2
5-16-2009,243814,10106,275735,8270.2
5-17-2009,307905,11222,289467.6,9192
5-18-2009,231336,12383,280470.2,10199.8
5-19-2009,205461,13539,255310.2,11266
5-20-2009,324041,14595,262511.4,12369
5-21-2009,246308,15450,263010.2,13437.8
5-22-2009,270394,16349,255508,14463.2
5-23-2009,208832,16941,251007.2,15374.8
5-24-2009,263359,17212,262586.8,16109.4
5-25-2009,229493,17147,243677.2,16619.8
5-26-2009,146083,16746,223632.2,16879
5-27-2009,265862,15980,222725.8,16805.2
5-28-2009,178498,14981,216659,16413.2
5-29-2009,179994,13807,199986,15732.2
5-30-2009,199268,12472,193941,14797.2
5-31-2009,175269,11011,199778.2,13650.2
6-1-2009,188384,0,184282.6,10454.2
6-2-2009,203190,0,189221,7458
6-3-2009,130915,0,179405.2,4696.6
6-4-2009,205362,0,180624,2202.2
6-5-2009,258945,0,197359.2,0
6-6-2009,154763,0,190635,0
6-7-2009,173978,0,184792.6,0
6-8-2009,169184,0,192446.4,0
6-9-2009,203930,31,192160,6.2
6-10-2009,148313,2195,170033.6,445.2
6-11-2009,179556,1853,174992.2,815.8
6-12-2009,145561,1525,169308.8,1120.8
6-13-2009,137353,1326,162942.6,1386
6-14-2009,64676,1076,135091.8,1595
6-15-2009,151510,898,135731.2,1335.6
6-16-2009,176110,778,135042,1120.6
6-17-2009,147119,630,135353.6,941.6
6-18-2009,171459,541,142174.8,784.6
6-19-2009,102680,446,149775.6,658.6
6-20-2009,109390,390,141351.6,557
6-21-2009,209376,360,148004.8,473.4
6-22-2009,151267,308,148834.4,409
6-23-2009,155094,278,145561.4,356.4
6-24-2009,192679,251,163561.2,317.4
6-25-2009,177033,222,177089.8,283.8
6-26-2009,122211,204,159656.8,252.6
6-27-2009,191411,177,167685.6,226.4
6-28-2009,163112,173,169289.2,205.4
